estaca;area;esfuerzo;size;distancia;mata;cueva;ano;mes ;dia;semana;cant_obs
26;34,9898;1;3;8;3;0;2015;;;;
26;34,9898;1;6;9;6;0;2015;;;;
26;34,9898;1;5;10;5;0;2015;;;;
26;34,9898;1;1;12;0;1;2015;;;;
26;34,9898;1;3;13;3;0;2015;;;;
26;34,9898;1;1;14;0;1;2015;;;;
26;34,9898;1;4;16;4;0;2015;;;;
26;34,9898;1;3;17;3;0;2015;;;;
26;34,9898;1;5;18;5;0;2015;;;;
26;34,9898;1;2;19;2;0;2015;;;;
26;34,9898;1;6;20;6;0;2015;;;;
27;34,9898;1;5;4;5;0;2015;;;;
27;34,9898;1;2;5;2;0;2015;;;;
27;34,9898;1;1;6;1;0;2015;;;;
27;34,9898;1;4;7;4;0;2015;;;;
27;34,9898;1;5;8;5;0;2015;;;;
27;34,9898;1;1;9;1;0;2015;;;;
27;34,9898;1;9;10;9;0;2015;;;;
27;34,9898;1;2;11;2;0;2015;;;;
27;34,9898;1;9;12;9;0;2015;;;;
27;34,9898;1;5;13;5;0;2015;;;;
27;34,9898;1;13;14;13;0;2015;;;;
27;34,9898;1;10;15;9;1;2015;;;;
27;34,9898;1;13;16;13;0;2015;;;;
27;34,9898;1;22;17;22;0;2015;;;;
27;34,9898;1;11;18;9;2;2015;;;;
27;34,9898;1;5;19;5;0;2015;;;;
27;34,9898;1;12;20;11;1;2015;;;;
28;34,9898;1;1;3;1;0;2015;;;;
28;34,9898;1;2;5;2;0;2015;;;;
28;34,9898;1;1;6;1;0;2015;;;;
28;34,9898;1;3;7;2;1;2015;;;;
28;34,9898;1;7;8;6;1;2015;;;;
28;34,9898;1;5;9;2;3;2015;;;;
28;34,9898;1;5;10;1;4;2015;;;;
28;34,9898;1;2;11;2;0;2015;;;;
28;34,9898;1;6;12;3;3;2015;;;;
28;34,9898;1;1;13;1;0;2015;;;;
28;34,9898;1;1;15;0;1;2015;;;;
28;34,9898;1;3;16;0;3;2015;;;;
28;34,9898;1;3;17;2;1;2015;;;;
28;34,9898;1;5;18;2;3;2015;;;;
28;34,9898;1;5;19;0;5;2015;;;;
28;34,9898;1;10;20;2;8;2015;;;;
29;34,9898;1;3;4;3;0;2015;;;;
29;34,9898;1;3;5;3;0;2015;;;;
29;34,9898;1;2;6;2;0;2015;;;;
29;34,9898;1;6;7;6;0;2015;;;;
29;34,9898;1;7;8;7;0;2015;;;;
29;34,9898;1;8;9;8;0;2015;;;;
29;34,9898;1;2;10;1;1;2015;;;;
29;34,9898;1;14;11;9;5;2015;;;;
29;34,9898;1;14;12;13;1;2015;;;;
29;34,9898;1;23;13;20;3;2015;;;;
29;34,9898;1;19;14;17;2;2015;;;;
29;34,9898;1;19;15;19;0;2015;;;;
29;34,9898;1;13;16;11;2;2015;;;;
29;34,9898;1;21;17;15;6;2015;;;;
29;34,9898;1;9;18;7;2;2015;;;;
29;34,9898;1;10;19;7;3;2015;;;;
29;34,9898;1;12;20;9;3;2015;;;;
30;34,9898;1;2;5;2;0;2015;;;;
30;34,9898;1;3;6;3;0;2015;;;;
30;34,9898;1;6;7;5;1;2015;;;;
30;34,9898;1;12;8;8;4;2015;;;;
30;34,9898;1;11;9;10;1;2015;;;;
30;34,9898;1;7;10;7;0;2015;;;;
30;34,9898;1;9;11;7;2;2015;;;;
30;34,9898;1;13;12;7;6;2015;;;;
30;34,9898;1;14;13;2;12;2015;;;;
30;34,9898;1;9;14;6;3;2015;;;;
